Entity,Code,Year,all years
Barbour,,2021,15468
Barnes,,2020,10836
Barnes,,2021,10806
Barnstable,,2020,228969
Barnstable,,2021,232411
Barnwell,,2020,20567
Barnwell,,2021,20580
Barren,,2020,44445
Barren,,2021,44544
Barron,,2020,46643
Barron,,2021,46719
Barrow,,2020,83963
Barrow,,2021,86658
Barry,,2020,62548
Barry,,2020,34539
Barry,,2021,62992
Barry,,2021,34712
Bartholomew,,2020,82157
Bartholomew,,2021,82475
Barton,,2020,25419
Barton,,2020,11613
Barton,,2021,25216
Barton,,2021,11658
Bartow,,2020,109311
Bartow,,2021,110843
Bastrop,,2020,97983
Bastrop,,2021,102058
Bates,,2020,16044
Bates,,2021,16105
Bath,,2020,12708
Bath,,2020,4196
Bath,,2021,12778
Bath,,2021,4114
Baxter,,2020,41655
Baxter,,2021,42144
Bay,,2020,174461
Bay,,2020,103594
Bay,,2021,179168
Bay,,2021,102985
Bayfield,,2020,16229
Bayfield,,2021,16320
Baylor,,2020,3464
Baylor,,2021,3477
Beadle,,2020,19146
Beadle,,2021,19121
Bear Lake,,2020,6370
Bear Lake,,2021,6545
Beaufort,,2020,44618
Beaufort,,2020,187691
Beaufort,,2021,44468
Beaufort,,2021,191748
Beauregard,,2020,36573
Beauregard,,2021,36584
Beaver,,2020,5012
Beaver,,2020,167732
Beaver,,2020,7076
Beaver,,2021,4980
Beaver,,2021,166624
Beaver,,2021,7249
Beaverhead,,2020,9372
Beaverhead,,2021,9524
Becker,,2020,35147
Becker,,2021,35219
Beckham,,2020,22302
Beckham,,2021,22046
Bedford,,2020,47523
Bedford,,2020,50302
Bedford,,2020,79504
Bedford,,2021,47461
Bedford,,2021,51119
Bedford,,2021,80131
Bee,,2020,30990
Bee,,2021,30924
Belknap,,2020,63743
Belknap,,2021,64460
Bell,,2020,23942
Bell,,2020,371981
Bell,,2021,23858
Bell,,2021,379617
Belmont,,2020,66235
Belmont,,2021,65849
Beltrami,,2020,46230
Beltrami,,2021,46380
Ben Hill,,2020,17153
Ben Hill,,2021,17158
Benewah,,2020,9576
Benewah,,2021,9931
Bennett,,2020,3386
Bennett,,2021,3406
