Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2020;31.12.2021;31.12.2021;31.12.2022;31.12.2022;31.12.2023;31.12.2023;31.12.2024;31.12.2024
09675;Kitzingen, Landkreis;91696;e;91980;e;90576;e;91197;e;91287;e
09676;Miltenberg, Landkreis;128743;e;128782;e;126649;e;127204;e;127547;e
09677;Main-Spessart, Landkreis;125976;e;126105;e;125270;e;125814;e;125282;e
09678;Schweinfurt, Landkreis;115652;e;116134;e;114749;e;114404;e;113977;e
09679;Würzburg, Landkreis;162697;e;163534;e;160240;e;160879;e;162216;e
09761;Augsburg, kreisfreie Stadt;295830;e;296478;e;296706;e;298972;e;301105;e
09762;Kaufbeuren, kreisfreie Stadt;44662;e;45118;e;45459;e;46071;e;46193;e
09763;Kempten (Allgäu), kreisfreie Stadt;68940;e;69053;e;65229;e;65933;e;67645;e
09764;Memmingen, kreisfreie Stadt;44360;e;44721;e;43696;e;44048;e;44192;e
09771;Aichach-Friedberg, Landkreis;135024;e;135538;e;135133;e;136430;e;136803;e
09772;Augsburg, Landkreis;255900;e;257790;e;259302;e;261600;e;262811;e
09773;Dillingen an der Donau, Landkreis;97172;e;97985;e;97430;e;98474;e;98899;e
09774;Günzburg, Landkreis;127342;e;128436;e;128361;e;129696;e;129846;e
09775;Neu-Ulm, Landkreis;175823;e;177330;e;180320;e;182560;e;183595;e
09776;Lindau (Bodensee), Landkreis;82085;e;82330;e;81874;e;82224;e;82411;e
09777;Ostallgäu, Landkreis;141907;e;143236;e;140153;e;141137;e;142047;e
09778;Unterallgäu, Landkreis;146164;e;147776;e;143384;e;145298;e;147255;e
09779;Donau-Ries, Landkreis;134324;e;134986;e;133770;e;134677;e;135098;e
09780;Oberallgäu, Landkreis;156308;e;157202;e;152664;e;153394;e;155413;e
10041;Regionalverband Saarbrücken, Landkreis;327502;e;327284;e;330672;e;332416;e;333149;e
10042;Merzig-Wadern, Landkreis;103471;e;103426;e;109393;e;109336;e;108779;e
10043;Neunkirchen, Landkreis;131172;e;130847;e;133544;e;133667;e;133179;e
10044;Saarlouis, Landkreis;193732;e;193661;e;205785;e;206094;e;205129;e
10045;Saarpfalz-Kreis;141656;e;140960;e;144492;e;144478;e;144092;e
10046;Sankt Wendel, Landkreis;86458;e;86170;e;88005;e;88056;e;87813;e
11000;Berlin, kreisfreie Stadt;3664088;e;3677472;e;3632853;e;3662381;e;3685265;e
12051;Brandenburg an der Havel, kreisfreie Stadt;72040;e;72461;e;73612;e;73939;e;74113;e
12052;Cottbus, kreisfreie Stadt;98693;e;98359;e;94250;e;94778;e;95123;e
12053;Frankfurt (Oder), kreisfreie Stadt;57015;e;56679;e;56434;e;57065;e;57107;e
12054;Potsdam, kreisfreie Stadt;182112;e;183154;e;182987;e;184290;e;184754;e
12060;Barnim, Landkreis;187343;e;188835;e;191525;e;192776;e;194169;e
12061;Dahme-Spreewald, Landkreis;173316;e;175834;e;176373;e;177662;e;178793;e
12062;Elbe-Elster, Landkreis;101085;e;100317;e;99684;e;98750;e;97967;e
12063;Havelland, Landkreis;164693;e;165906;e;168494;e;169721;e;170834;e
12064;Märkisch-Oderland, Landkreis;197195;e;197965;e;196930;e;197785;e;197817;e
12065;Oberhavel, Landkreis;214234;e;215795;e;216849;e;217290;e;217690;e
12066;Oberspreewald-Lausitz, Landkreis;108396;e;107558;e;109091;e;108434;e;107793;e
12067;Oder-Spree, Landkreis;179276;e;179245;e;179748;e;180499;e;179817;e
12068;Ostprignitz-Ruppin, Landkreis;98808;e;98829;e;99294;e;99372;e;99152;e
12069;Potsdam-Mittelmark, Landkreis;217954;e;219521;e;219092;e;220158;e;221268;e
12070;Prignitz, Landkreis;76096;e;75574;e;76322;e;76148;e;75595;e
12071;Spree-Neiße, Landkreis;113011;e;111955;e;111083;e;110580;e;109635;e
12072;Teltow-Fläming, Landkreis;171554;e;172545;e;175569;e;177420;e;177688;e
12073;Uckermark, Landkreis;118250;e;117336;e;117822;e;117797;e;117432;e
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;;-;;-;;-;;-;
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;;-;;-;;-;;-;
13003;Rostock, kreisfreie Stadt;209061;e;208400;e;203909;e;204948;e;205307;e
13004;Schwerin, kreisfreie Stadt;95609;e;95740;e;97614;e;97850;e;98308;e
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;;-;;-;;-;;-;
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;;-;;-;;-;;-;
13051;Bad Doberan, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13052;Demmin, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13053;Güstrow, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13054;Ludwigslust, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13056;Müritz, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13060;Parchim, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13061;Rügen, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;;-;;-;;-;;-;
13071;Mecklenburgische Seenplatte, Landkreis;258057;e;257525;e;247735;e;247575;e;246318;e
13072;Rostock, Landkreis;217072;e;217796;e;218132;e;218780;e;218721;e
13073;Vorpommern-Rügen, Landkreis;225383;e;225900;e;215983;e;216175;e;215203;e
13074;Nordwestmecklenburg, Landkreis;157975;e;158449;e;157108;e;157160;e;156692;e
13075;Vorpommern-Greifswald, Landkreis;235773;e;235451;e;226324;e;226181;e;224956;e
13076;Ludwigslust-Parchim, Landkreis;211844;e;211899;e;209244;e;209372;e;208092;e
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14171;Annaberg, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14177;Freiberg, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14178;Vogtlandkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;;-;;-;;-;;-;
14182;Mittweida, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14188;Stollberg, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14272;Bautzen, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14280;Meißen, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;;-;;-;;-;;-;
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14290;Weißeritzkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14292;Kamenz, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;;-;;-;;-;;-;
14374;Delitzsch, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14375;Döbeln, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14379;Leipziger Land, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14383;Muldentalkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;;-;;-;;-;;-;
14511;Chemnitz, kreisfreie Stadt;244401;e;243105;e;242896;e;245150;e;245618;e
14521;Erzgebirgskreis;331917;e;328695;e;324070;e;322179;e;318394;e
14522;Mittelsachsen, Landkreis;301474;e;299329;e;297991;e;297766;e;296431;e
14523;Vogtlandkreis;223905;e;221376;e;221783;e;221088;e;219100;e
14524;Zwickau, Landkreis;312033;e;309621;e;310532;e;309866;e;306793;e
14612;Dresden, kreisfreie Stadt;556227;e;555351;e;559986;e;563019;e;564904;e
14625;Bautzen, Landkreis;298010;e;296290;e;295917;e;294746;e;292608;e
14626;Görlitz, Landkreis;250558;e;248273;e;246989;e;245867;e;243958;e
14627;Meißen, Landkreis;240371;e;239344;e;240519;e;240368;e;239221;e
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;244722;e;244009;e;245313;e;245143;e;243996;e
14713;Leipzig, kreisfreie Stadt;597493;e;601866;e;603578;e;608013;e;611850;e
14729;Leipzig, Landkreis;258386;e;258214;e;259568;e;260706;e;260127;e
14730;Nordsachsen, Landkreis;197444;e;197529;e;200825;e;200778;e;199422;e
15001;Dessau-Roßlau, kreisfreie Stadt;79354;e;78731;e;76042;e;76062;e;75402;e
15002;Halle (Saale), kreisfreie Stadt;237865;e;238061;e;227416;e;227639;e;226767;e
15003;Magdeburg, kreisfreie Stadt;235775;e;236188;e;241753;e;242491;e;244329;e
15081;Altmarkkreis Salzwedel;82687;e;81986;e;81369;e;80780;e;79980;e
15082;Anhalt-Bitterfeld, Landkreis;157217;e;155900;e;154366;e;153801;e;153035;e
15083;Börde, Landkreis;170567;e;170106;e;168952;e;168593;e;167924;e
15084;Burgenlandkreis;177590;e;176333;e;175180;e;175217;e;173684;e
15085;Harz, Landkreis;210975;e;209117;e;208634;e;207134;e;205484;e
15086;Jerichower Land, Landkreis;89403;e;89118;e;89033;e;88695;e;88509;e
15087;Mansfeld-Südharz, Landkreis;133690;e;132317;e;131107;e;130162;e;129029;e
15088;Saalekreis;183434;e;182814;e;182390;e;182677;e;182451;e
15089;Salzlandkreis;187457;e;185495;e;183727;e;182296;e;180771;e
15090;Stendal, Landkreis;110485;e;109746;e;107462;e;106793;e;106538;e
15091;Wittenberg, Landkreis;124185;e;123341;e;122808;e;122230;e;121694;e
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;;-;;-;;-;;-;
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15153;Bernburg, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15154;Bitterfeld, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15159;Köthen, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15171;Wittenberg, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;;-;;-;;-;;-;
15256;Burgenlandkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15265;Saalkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15266;Sangerhausen, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15268;Weißenfels, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;;-;;-;;-;;-;
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15355;Bördekreis (bis 30.06.2007);-;;-;;-;;-;;-;
15357;Halberstadt, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15358;Jerichower Land, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15362;Ohrekreis (bis 30.06.2007);-;;-;;-;;-;;-;
15363;Stendal, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15364;Quedlinburg, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15367;Schönebeck, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15369;Wernigerode, Landkreis (bis 30.06.2007);-;;-;;-;;-;;-;
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;;-;;-;;-;;-;
16051;Erfurt, kreisfreie Stadt;213692;e;213227;e;218769;e;219549;e;218793;e
16052;Gera, kreisfreie Stadt;92126;e;91368;e;94454;e;95695;e;95608;e
16053;Jena, kreisfreie Stadt;110731;e;110502;e;110470;e;110076;e;109725;e
16054;Suhl, kreisfreie Stadt;36395;e;36054;e;36325;e;36307;e;34685;e
16055;Weimar, kreisfreie Stadt;65098;e;65138;e;65507;e;65528;e;65954;e
16056;Eisenach, kreisfreie Stadt (bis 30.06.2021);41970;e;-;;-;;-;;-;
16061;Eichsfeld, Landkreis;99463;e;99324;e;99358;e;102699;e;103694;e
16062;Nordhausen, Landkreis;82456;e;81687;e;81811;e;81502;e;80762;e
16063;Wartburgkreis;117967;e;158900;e;156566;e;156334;e;154957;e
16064;Unstrut-Hainich-Kreis;101698;e;101269;e;100435;e;96458;e;94613;e
16065;Kyffhäuserkreis;73522;e;72964;e;73022;e;72556;e;71738;e
16066;Schmalkalden-Meiningen, Landkreis;124241;e;123404;e;121791;e;121151;e;120214;e
16067;Gotha, Landkreis;134563;e;133825;e;137321;e;136933;e;135838;e
16068;Sömmerda, Landkreis;69107;e;68717;e;68325;e;68109;e;67693;e
16069;Hildburghausen, Landkreis;62656;e;62089;e;61271;e;60691;e;59987;e
16070;Ilm-Kreis;105606;e;105367;e;106975;e;107002;e;106657;e
16071;Weimarer Land, Landkreis;82291;e;82103;e;83148;e;82868;e;82392;e
16072;Sonneberg, Landkreis;57044;e;56504;e;56412;e;55959;e;54964;e
16073;Saalfeld-Rudolstadt, Landkreis;102139;e;100969;e;101556;e;101111;e;100105;e
16074;Saale-Holzland-Kreis;82816;e;82513;e;83595;e;84040;e;83342;e
16075;Saale-Orla-Kreis;79632;e;79030;e;78404;e;77859;e;77341;e
16076;Greiz, Landkreis;96668;e;96102;e;95281;e;94488;e;93707;e
16077;Altenburger Land, Landkreis;88356;e;87807;e;88034;e;87955;e;87508;e
